-40.0	-40.0
-38.0	-38.9
-36.0	-37.8
-34.0	-36.7
-32.0	-35.6
-30.0	-34.4
-28.0	-33.3
-26.0	-32.2
-24.0	-31.1
-22.0	-30.0
-20.0	-28.9
-18.0	-27.8
-16.0	-26.7
-14.0	-25.6
-12.0	-24.4
-10.0	-23.3
-8.0	-22.2
-6.0	-21.1
-4.0	-20.0
-2.0	-18.9
0.0	-17.8
2.0	-16.7
4.0	-15.6
6.0	-14.4
8.0	-13.3
10.0	-12.2
12.0	-11.1
14.0	-10.0
16.0	-8.9
18.0	-7.8
20.0	-6.7
22.0	-5.6
24.0	-4.4
26.0	-3.3
28.0	-2.2
30.0	-1.1
32.0	0.0
34.0	1.1
36.0	2.2
38.0	3.3
40.0	4.4
42.0	5.6
44.0	6.7
46.0	7.8
48.0	8.9
50.0	10.0
52.0	11.1
54.0	12.2
56.0	13.3
58.0	14.4
60.0	15.6
62.0	16.7
64.0	17.8
66.0	18.9
68.0	20.0
70.0	21.1
72.0	22.2
74.0	23.3
76.0	24.4
78.0	25.6
80.0	26.7
82.0	27.8
84.0	28.9
86.0	30.0
88.0	31.1
90.0	32.2
92.0	33.3
94.0	34.4
96.0	35.6
98.0	36.7
100.0	37.8
102.0	38.9
104.0	40.0
106.0	41.1
108.0	42.2
110.0	43.3
112.0	44.4
114.0	45.6
116.0	46.7
118.0	47.8
120.0	48.9
122.0	50.0
124.0	51.1
126.0	52.2
128.0	53.3
130.0	54.4
132.0	55.6
134.0	56.7
136.0	57.8
138.0	58.9
140.0	60.0
142.0	61.1
144.0	62.2
146.0	63.3
148.0	64.4
150.0	65.6
152.0	66.7
154.0	67.8
156.0	68.9
158.0	70.0
160.0	71.1
162.0	72.2
164.0	73.3
166.0	74.4
168.0	75.6
170.0	76.7
172.0	77.8
174.0	78.9
176.0	80.0
178.0	81.1
180.0	82.2
182.0	83.3
184.0	84.4
186.0	85.6
188.0	86.7
190.0	87.8
192.0	88.9
194.0	90.0
196.0	91.1
198.0	92.2
200.0	93.3
202.0	94.4
204.0	95.6
206.0	96.7
208.0	97.8
210.0	98.9
212.0	100.0
214.0	101.1
216.0	102.2
218.0	103.3
220.0	104.4
